"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript JSX", "TypeScript JSX", "Markdown", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\attachment.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\check-circle-fill.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\check-circle-outline.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\check.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\close-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\close-circle-fill.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 1, 12
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\close-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\copy.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\desktop.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\dish-plate.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 8, 20
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\dots.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\email-success.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\email.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\eye-closed-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\eye-closed.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\src\assets\icons\eye-open-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
